event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
31,27,aten::alias,,aten::alias,8938.385,8959.635,21.25,21.25,21.25,0,0,1,0,CPU,2155947,2155947,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
34,30,aten::view,,aten::view,9006.643,9012.634,5.9909999999999854,5.9909999999999854,5.9909999999999854,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,29,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[]]","[null,[-1]]",{},[],
36,32,aten::empty,,aten::empty,9025.949,9034.264,8.31499999999869,8.31499999999869,8.31499999999869,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[],[],[],[],[],[]]","[[0],5,0,null,null,null]",{},[],
37,33,aten::resize_,,aten::resize_,9039.955,9049.132,9.17699999999968,9.17699999999968,9.17699999999968,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,118272,118272,"[[0],[],[]]","[null,[77,768],null]",{},[],
38,34,aten::view,,aten::view,9053.721,9057.718,3.997000000001208,3.997000000001208,3.997000000001208,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,31,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[77,1]]",{},[],
40,36,aten::as_strided,,aten::as_strided,9067.346,9073.568,6.221999999999753,6.221999999999753,6.221999999999753,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,35,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,1],[],[],[]]","[null,[77,768],[1,0],null]",{},[],
42,38,aten::as_strided,,aten::as_strided,9090.8,9106.289,15.489000000001397,15.489000000001397,15.489000000001397,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,37,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[],[],[]]","[null,[77,768],[768,1],null]",{},[],
43,39,aten::as_strided,,aten::as_strided,9109.786,9114.074,4.288000000000466,4.288000000000466,4.288000000000466,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,37,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[49408,768],[],[],[]]","[null,[77,768],[0,1],null]",{},[],
44,39,cudaLaunchKernel,,cudaLaunchKernel,9120.145,9132.648,12.502999999998792,12.502999999998792,12.502999999998792,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,37,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
46,40,aten::view,,aten::view,9148.728,9153.267,4.539000000000669,4.539000000000669,4.539000000000669,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,28,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[]]","[null,[1,77,768]]",{},[],
49,43,aten::view,,aten::view,9187.17,9191.448,4.278000000000247,4.278000000000247,4.278000000000247,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,42,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[]]","[null,[-1]]",{},[],
51,45,aten::empty,,aten::empty,9201.297,9221.785,20.487999999999374,20.487999999999374,20.487999999999374,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,44,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[],[],[],[],[],[]]","[[0],5,0,null,null,null]",{},[],
52,46,aten::resize_,,aten::resize_,9225.802,9238.205,12.403000000000247,12.403000000000247,12.403000000000247,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,44,0,0,[],[],False,False,False,False,0,0,0,118272,118272,"[[0],[],[]]","[null,[77,768],null]",{},[],
53,47,aten::view,,aten::view,9241.832,9245.9,4.0679999999993015,4.0679999999993015,4.0679999999993015,0,0,1,0,CPU,2155947,2155947,-1,-1,0,3,44,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77],[]]","[null,[77,1]]",{},[],
55,49,aten::as_strided,,aten::as_strided,9252.913,9258.123,5.209999999999127,5.209999999999127,5.209999999999127,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,48,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,1],[],[],[]]","[null,[77,768],[1,0],null]",{},[],
57,51,aten::as_strided,,aten::as_strided,9271.688,9276.798,5.110000000000582,5.110000000000582,5.110000000000582,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,50,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[],[],[]]","[null,[77,768],[768,1],null]",{},[],
58,52,aten::as_strided,,aten::as_strided,9279.643,9284.492,4.84900000000016,4.84900000000016,4.84900000000016,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,50,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[],[],[]]","[null,[77,768],[0,1],null]",{},[],
59,63,cudaLaunchKernel,,cudaLaunchKernel,9287.678,9294.811,7.132999999999811,7.132999999999811,7.132999999999811,0,0,1,0,CPU,2155947,2155947,-1,-1,0,4,50,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
61,53,aten::view,,aten::view,9320.64,9325.388,4.7480000000014115,4.7480000000014115,4.7480000000014115,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,41,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[77,768],[]]","[null,[1,77,768]]",{},[],
63,75,cudaLaunchKernel,,cudaLaunchKernel,9346.728,9352.93,6.202000000001135,6.202000000001135,6.202000000001135,0,0,1,0,CPU,2155947,2155947,-1,-1,0,2,54,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
