step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,60,cache_188_186,t60,CONTEXT,188,186,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,61,cache_190_154,t61,CONTEXT,190,154,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,62,cache_193_154,t62,CONTEXT,193,154,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,63,cache_195_170,t63,CONTEXT,195,170,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,64,cache_198_170,t64,CONTEXT,198,170,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,65,cache_200_186,t65,CONTEXT,200,186,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,66,cache_203_186,t66,CONTEXT,203,186,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,67,cache_208_55,t67,CONTEXT,208,55,0,6160,2,12320,cuda:0,,"[1,1,77,80]",2,3
0,68,cache_213_55,t68,CONTEXT,213,55,0,5929,2,11858,cuda:0,,"[1,1,77,77]",2,1
0,69,cache_217_55,t69,CONTEXT,217,55,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,70,cache_220_55,t70,CONTEXT,220,55,0,71148,2,142296,cuda:0,,"[1,12,77,77]",1,1
0,71,cache_224_154,t71,CONTEXT,224,154,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,72,cache_227_170,t72,CONTEXT,227,170,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,73,cache_230_186,t73,CONTEXT,230,186,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,74,cache_233_234,t74,CONTEXT,233,234,0,1,8,8,cpu,,[],2,0
0,75,cache_233_240,t75,CONTEXT,233,240,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,76,cache_236_237,t76,CONTEXT,236,237,0,1,8,8,cpu,,[],2,0
0,77,cache_236_240,t77,CONTEXT,236,240,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,78,cache_239_240,t78,CONTEXT,239,240,0,59136,2,118272,cuda:0,,"[1,77,12,64]",2,1
0,79,cache_242_53,t79,CONTEXT,242,53,0,0,4,0,cuda:0,,"[1,12,0]",2,0
0,80,cache_242_240,t80,CONTEXT,242,240,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,81,cache_245_240,t81,CONTEXT,245,240,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,82,param_251_252,t82,WEIGHT,251,252,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,83,param_253_254,t83,WEIGHT,253,254,0,768,2,1536,cuda:0,,[768],0,1
0,84,cache_259_252,t84,CONTEXT,259,252,0,589824,2,1179648,cuda:0,,"[768,768]",1,1
0,85,cache_261_262,t85,CONTEXT,261,262,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,86,cache_264_262,t86,CONTEXT,264,262,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,87,cache_266_133,t87,CONTEXT,266,133,0,59136,2,118272,cuda:0,,"[1,77,768]",1,2
0,88,param_268_269,t88,WEIGHT,268,269,0,768,2,1536,cuda:0,,[768],0,1
0,89,param_270_271,t89,WEIGHT,270,271,0,768,2,1536,cuda:0,,[768],0,1
0,90,cache_274_154,t90,CONTEXT,274,154,0,59136,2,118272,cuda:0,,"[1,77,768]",2,1
0,91,cache_276_99,t91,CONTEXT,276,99,0,77,4,308,cuda:0,,[77],1,1
0,92,cache_278_138,t92,CONTEXT,278,138,0,77,4,308,cuda:0,,[77],1,1
0,93,cache_280_99,t93,CONTEXT,280,99,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,94,cache_280_285,t94,CONTEXT,280,285,0,2359296,2,4718592,cuda:0,,"[768,3072]",1,1
0,95,cache_282_138,t95,CONTEXT,282,138,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,96,cache_282_154,t96,CONTEXT,282,154,0,59136,2,118272,cuda:0,,"[77,768]",1,1
